1,'はまだ たかよし',0,46,'兵庫県相生市xxx 9999-99',\N
2,'うえき しゅういち',0,55,'山梨県笛吹市xxx 9999-99',3
3,'くりた かずよし',0,61,'茨城県常陸太田市xxx 9999-99',5
4,'くりもと のぶお',0,47,'栃木県下都賀郡都賀町xxx 9999-99',3
5,'むらき そのみ',1,46,'岐阜県可児市xxx 9999-99',3
6,'すずき ひろき',0,36,'兵庫県神戸市北区xxx 9999-99',4
7,'くろむら ちか',1,46,'愛知県西尾市xxx 9999-99',6
8,'てらもと ひでき',0,58,'福島県伊達市xxx 9999-99',3
9,'きさわ じゅんこ',1,19,'茨城県小美玉市xxx 9999-99',2
10,'すずき ゆき',1,41,'東京都荒川区xxx 9999-99',4
11,'かわき あつみ',1,23,'千葉県南房総市xxx 9999-99',\N
12,'はまかわ のりこ',1,57,'北海道枝幸郡枝幸町xxx 9999-99',6
13,'こばやし はるみ',1,52,'埼玉県川越市xxx 9999-99',4
14,'ひろき そのみ',1,34,'秋田県北秋田郡上小阿仁村xxx 9999-99',2
15,'いわおか あきこ',1,20,'茨城県水戸市xxx 9999-99',4
16,'もりかわ よしみ',1,43,'神奈川県川崎市幸区xxx 9999-99',4
17,'よしざわ あさこ',1,50,'北海道千歳市xxx 9999-99',3
18,'おおの しゅういち',0,54,'兵庫県加西市xxx 9999-99',4
19,'いしむら ようこ',1,46,'北海道札幌市南区xxx 9999-99',4
20,'いわやま あさこ',1,68,'京都府綴喜郡井手町xxx 9999-99',4
21,'あおむら のぶあき',0,33,'北海道野付郡別海町xxx 9999-99',3
22,'よしむら たかや',0,26,'北海道札幌市南区xxx 9999-99',3
23,'きやま ひでや',0,52,'埼玉県児玉郡上里町xxx 9999-99',3
24,'きやま まゆみ',1,23,'千葉県茂原市xxx 9999-99',2
25,'たざわ たかや',0,34,'滋賀県蒲生郡安土町xxx 9999-99',4
26,'くろむら たかよし',0,40,'石川県能美市xxx 9999-99',\N
27,'たかさき とものり',0,21,'静岡県浜松市浜北区xxx 9999-99',4
28,'すずき あきこ',1,32,'茨城県守谷市xxx 9999-99',2
29,'すぎさわ ゆか',1,47,'長野県上水内郡飯綱町xxx 9999-99',4
30,'うえむら まゆみ',1,60,'北海道常呂郡佐呂間町xxx 9999-99',\N
31,'くりおか ともあき',0,59,'静岡県掛川市xxx 9999-99',4
32,'さとう ひろゆき',0,54,'大阪府和泉市xxx 9999-99',6
33,'てらさき たかひろ',0,34,'北海道新冠郡新冠町xxx 9999-99',4
34,'きもと まさみ',1,48,'新潟県新発田市xxx 9999-99',2
35,'てらかわ けんたろう',0,43,'岐阜県加茂郡東白川村xxx 9999-99',\N
36,'うえもと のぶお',0,31,'山梨県南巨摩郡南部町xxx 9999-99',3
37,'たかはし かずみ',1,39,'山梨県中巨摩郡昭和町xxx 9999-99',\N
38,'さとう ひろみ',1,21,'北海道雨竜郡幌加内町xxx 9999-99',6
39,'おがわ ひとみ',1,49,'鹿児島県指宿市xxx 9999-99',4
40,'はらもと あみ',1,23,'北海道千歳市xxx 9999-99',1
41,'きさわ ひでき',0,22,'東京都稲城市xxx 9999-99',6
42,'てらおか とおる',0,54,'長崎県諫早市xxx 9999-99',6
43,'すぎむら まさひろ',0,23,'秋田県南秋田郡井川町xxx 9999-99',4
44,'ささき よしこ',1,31,'愛知県幡豆郡一色町xxx 9999-99',6
45,'たにかわ たかお',0,38,'宮崎県都城市xxx 9999-99',6
46,'たきざわ まなみ',1,31,'山梨県南巨摩郡増穂町xxx 9999-99',6
